Algus;L6pp;Synniaasta;Sugu;Sugu2;Kaal;Vastus;Pikkus;Vastus;K5;K5a;K6;K6a;K7;K8;K8a;K9;K9a;K10;K11;K12;K12A;K13;K13A;K14;K14A;K15;K15A
2014-veebr-13 10:42:28;2014-veebr-13 10:46:50;1973;0;naine;66;66;174;174;0;Ei;0;Alla 8 tunni;0;2;rahuldav;0;Ei;;7;2;umbes tunni;0;Mitte kordagi;0;Üldse mitte;1;üsna keskmisel tasemel
2014-veebr-13 12:39:49;2014-veebr-13 12:57:24;1991;0;naine;55;55;68;68;1;Jah;1;Üle 8 tunni;6;1;hea;0;Ei;;8;5;7 tundi ja kauem;2;1-2 korda nädalas;3;1-2 korda nädalas;1;üsna keskmisel tasemel
2014-veebr-13 12:55:41;2014-veebr-13 12:56:43;1990;0;naine;70;70;187;187;1;Jah;2;Umbes 20 tundi;4;1;hea;0;Ei;;7;3;umbes 2 kuni 3 tundi;0;Mitte kordagi;3;1-2 korda nädalas;0;paremad kui enamusel mu eakaaslastel
2014-veebr-13 12:55:43;2014-veebr-13 12:59:23;1963;0;naine;72;72;163;163;0;Ei;;;30;1;hea;1;Jah;parema silma nägemisvõime 30%;7;2;umbes tunni;3;Peaaegu iga päev;1;Ühe korra;0;paremad kui enamusel mu eakaaslastel
2014-veebr-13 12:55:47;2014-veebr-13 12:57:25;1971;0;naine;57;57;177;177;1;Jah;3;40 tundi;3;1;hea;1;Jah;-1,5;7;3;umbes 2 kuni 3 tundi;0;Mitte kordagi;0;Üldse mitte;0;paremad kui enamusel mu eakaaslastel
2014-veebr-13 12:55:48;2014-veebr-13 12:57:35;1991;0;naine;56;56;166;166;1;Jah;2;Umbes 20 tundi;3;1;hea;0;Ei;;7;3;umbes 2 kuni 3 tundi;0;Mitte kordagi;1;Ühe korra;0;paremad kui enamusel mu eakaaslastel
2014-veebr-13 12:56:06;2014-veebr-13 12:59:02;1990;0;naine;55;55;176;176;1;Jah;1;Üle 8 tunni;1;2;rahuldav;0;Ei;;11;4;umbes 4 kuni 6 tundi;1;1-2 korda kuus;2;Kokku 2-3 korda;0;paremad kui enamusel mu eakaaslastel
2014-veebr-13 13:54:08;2014-veebr-13 13:55:56;1991;0;naine;54;54;162;162;1;Jah;0;Alla 8 tunni;3;0;väga hea;1;Jah;-1,75;8;3;umbes 2 kuni 3 tundi;0;Mitte kordagi;2;Kokku 2-3 korda;1;üsna keskmisel tasemel
2014-veebr-13 14:34:02;2014-veebr-13 14:37:56;1989;0;naine;52;52;169;169;1;Jah;2;Umbes 20 tundi;4;0;väga hea;0;Ei;;7;3;umbes 2 kuni 3 tundi;0;Mitte kordagi;3;1-2 korda nädalas;1;üsna keskmisel tasemel
2014-veebr-13 15:05:58;2014-veebr-13 15:09:33;1991;0;naine;55;55;164;164;1;Jah;0;Alla 8 tunni;0;1;hea;0;Ei;;8;1;umbes pool tundi;0;Mitte kordagi;2;Kokku 2-3 korda;1;üsna keskmisel tasemel
2014-veebr-13 17:21:36;2014-veebr-13 17:23:37;1974;0;naine;58;58;164;164;1;Jah;1;Üle 8 tunni;4;0;väga hea;0;Ei;;6;0;mitte ühtegi;0;Mitte kordagi;2;Kokku 2-3 korda;1;üsna keskmisel tasemel
