"","partei","vanus","sugu","aastaid_koolis"
"31","Reform",51,"N",4
"33","Kesk",36,"M",7
"35","Kesk",71,"N",7
"42","IRL",70,"M",7
"44","Kesk",78,"M",6
"45","Kesk",79,"M",8
"49","Kesk",82,"N",6
"64","Kesk",80,"N",4
"65","Reform",72,"N",9
"66","Kesk",71,"N",6
"68","Kesk",77,"M",6
"70","Kesk",85,"M",6
"71","Kesk",75,"N",5
"73","IRL",76,"N",9
"76","Kesk",71,"N",7
"77","Reform",77,"N",6
"78","Kesk",78,"M",4
"81","Kesk",78,"N",5
"82","Kesk",76,"N",7
"114","Kesk",28,"N",12
"130","Kesk",29,"N",11
"147","Kesk",21,"N",12
"149","Reform",24,"N",11
"173","Reform",25,"M",7
"185","Kesk",21,"N",9
"193","Reform",23,"M",14
"203","Reform",31,"N",11
"206","Reform",32,"M",10
"207","Kesk",53,"N",14
"209","Kesk",37,"M",13
"218","Kesk",52,"M",9
"223","Reform",56,"N",10
"225","Reform",31,"N",9
"226","Reform",33,"N",15
"229","Reform",58,"N",9
"232","Kesk",55,"M",8
"233","Reform",49,"M",12
"235","Kesk",43,"N",10
"236","Reform",37,"M",12
"238","Kesk",56,"N",11
"239","Reform",50,"M",8
"242","IRL",51,"M",12
"243","IRL",57,"M",8
"247","Kesk",38,"N",12
"255","IRL",52,"M",13
"256","Reform",36,"M",11
"260","Kesk",55,"M",12
"263","Reform",59,"M",10
"267","Kesk",46,"N",9
"271","Reform",53,"N",11
"272","Reform",40,"N",12
"273","Kesk",42,"M",11
"276","Reform",35,"N",11
"282","Reform",46,"M",8
"285","Kesk",30,"M",9
"287","Kesk",32,"M",10
"292","Reform",56,"M",10
"296","Kesk",57,"N",10
"298","Reform",71,"M",9
"299","IRL",73,"N",8
"300","Kesk",76,"M",7
"301","Kesk",64,"N",11
"303","Reform",69,"M",9
"304","Reform",68,"N",7
"307","IRL",73,"N",8
"309","Kesk",82,"N",7
"310","Reform",60,"N",7
"311","Reform",71,"N",7
"313","Kesk",72,"N",7
"315","Kesk",66,"N",8
"320","Kesk",68,"N",10
"321","Kesk",77,"M",7
"322","IRL",72,"N",7
"323","IRL",87,"M",10
"324","Reform",64,"N",7
"325","Kesk",83,"N",9
"326","Kesk",65,"N",9
"327","Kesk",70,"N",8
"328","IRL",76,"N",7
"329","Kesk",71,"N",7
"330","Kesk",71,"N",7
"335","Kesk",78,"N",7
"337","Reform",67,"M",9
"338","Kesk",66,"N",10
"339","Kesk",83,"N",7
"340","Kesk",71,"N",11
"351","Kesk",81,"M",7
"352","Kesk",86,"N",3
"355","Reform",70,"N",7
"356","Kesk",75,"N",10
"362","Kesk",73,"M",11
"364","Kesk",78,"M",8
"367","Kesk",72,"N",10
"372","Kesk",60,"M",11
"378","Kesk",73,"M",9
"381","Kesk",72,"N",8
"384","Kesk",74,"M",9
"385","Kesk",82,"N",12
"387","Kesk",72,"M",8
"395","Kesk",71,"N",7
"401","IRL",79,"M",8
"404","Reform",82,"N",6
"405","Reform",70,"N",8
"409","IRL",69,"N",8
"410","Kesk",66,"N",8
"414","Reform",72,"M",7
"416","Kesk",86,"N",7
"417","Kesk",73,"N",7
"418","Reform",63,"N",9
"419","Kesk",70,"N",7
"420","Kesk",78,"M",7
"423","Kesk",29,"N",15
"424","Reform",21,"M",12
"426","Reform",21,"M",14
"427","Reform",28,"M",13
"428","Reform",25,"M",12
"430","Reform",22,"N",12
"431","IRL",26,"M",15
"435","Reform",22,"M",14
"438","Kesk",25,"M",12
"440","Reform",26,"N",13
"441","Kesk",23,"N",13
"443","Reform",29,"N",15
"445","Reform",27,"N",16
"446","Kesk",20,"M",14
"447","IRL",24,"M",12
"450","IRL",21,"M",15
"455","IRL",26,"M",12
"459","Reform",22,"M",13
"461","Kesk",27,"N",17
"465","IRL",27,"M",15
"466","Reform",25,"N",12
"467","Reform",20,"N",12
"468","Reform",29,"M",11
"472","Reform",21,"N",13
"473","Reform",24,"N",15
"477","Reform",23,"M",14
"482","IRL",24,"N",11
"484","Reform",24,"N",16
"488","IRL",21,"N",12
"489","Reform",26,"M",12
"490","Reform",26,"N",14
"492","IRL",21,"M",13
"497","Reform",29,"N",13
"498","IRL",28,"M",13
"506","Reform",22,"N",12
"512","Reform",23,"M",16
"513","Kesk",21,"M",12
"524","Reform",23,"M",14
"529","IRL",23,"N",16
"538","Kesk",22,"N",12
"541","Reform",22,"M",14
"543","Reform",24,"N",15
"546","Kesk",21,"N",14
"548","Reform",27,"M",12
"552","IRL",21,"N",14
"556","Kesk",26,"N",15
"558","IRL",21,"N",12
"562","Reform",25,"N",11
"564","Reform",29,"N",14
"565","Kesk",26,"M",12
"572","Reform",38,"M",18
"573","Kesk",51,"N",14
"574","Reform",45,"M",11
"576","IRL",52,"N",11
"577","IRL",50,"N",12
"582","Reform",36,"N",11
"583","IRL",42,"M",11
"586","Reform",36,"N",11
"587","IRL",57,"N",11
"590","Reform",41,"M",11
"591","IRL",36,"M",14
"593","Kesk",35,"M",15
"594","Reform",47,"M",12
"605","Kesk",41,"N",11
"607","Kesk",42,"M",12
"609","Reform",52,"N",14
"612","Kesk",41,"N",14
"614","Kesk",58,"M",9
"616","IRL",33,"M",14
"618","Reform",51,"N",12
"621","Reform",57,"M",12
"623","Reform",39,"N",11
"624","Kesk",56,"M",14
"627","Reform",59,"N",13
"628","Reform",36,"N",11
"631","Reform",46,"N",11
"632","Reform",35,"N",12
"636","Reform",38,"M",11
"638","Kesk",41,"M",9
"641","Reform",31,"M",15
"646","Reform",38,"M",11
"651","Reform",49,"N",11
"652","Reform",32,"M",16
"653","IRL",48,"N",13
"654","Kesk",54,"N",11
"655","Reform",40,"N",13
"658","Kesk",36,"N",13
"660","Kesk",46,"M",14
"663","Kesk",36,"M",12
"664","Reform",49,"M",12
"666","IRL",39,"N",12
"667","IRL",32,"M",12
"668","Reform",57,"M",11
"669","Kesk",57,"N",13
"671","Kesk",50,"M",11
"674","Reform",38,"N",11
"675","IRL",38,"N",10
"678","Kesk",46,"N",12
"681","IRL",41,"M",11
