"","vanus","N","E","O","A","C","valmidus"
"1",67,3.33333333333333,2.75,3.08333333333333,3.16666666666667,3.58333333333333,"pigem ei"
"2",57,2.66666666666667,3.16666666666667,3.33333333333333,3.5,3.33333333333333,"pigem ei"
"3",70,2.91666666666667,3.08333333333333,3.33333333333333,3.25,3.25,"pigem ei"
"4",63.8283222652765,3,2.75,3.25,2.91666666666667,3.16666666666667,"pigem ei"
"5",55,3.08333333333333,2.83333333333333,2.75,2.91666666666667,3.08333333333333,"pigem ei"
"6",59,3.08333333333333,2.75,3.08333333333333,3.25,3,"pigem ei"
"7",68,2.91666666666667,3.08333333333333,2.66666666666667,3,3,"pigem ei"
"8",59,3.41666666666667,2.83333333333333,2.33333333333333,3,2.91666666666667,"pigem ei"
"9",61.8876688907961,2.66666666666667,2.83333333333333,2.66666666666667,3.08333333333333,2.91666666666667,"pigem ei"
"10",58,3.25,1.83333333333333,2.66666666666667,2.5,2.75,"pigem ei"
"11",67.7972931557634,3.16666666666667,2.83333333333333,3,2.91666666666667,2.75,"pigem ei"
"12",59,NA,NA,NA,NA,NA,"pigem ei"
"13",61,NA,NA,NA,NA,NA,"pigem ei"
"14",57,3.33333333333333,2.91666666666667,3.41666666666667,3.58333333333333,3.83333333333333,"pigem ei"
"15",72.8909620932838,3.33333333333333,2.58333333333333,3,3.33333333333333,3.83333333333333,"pigem ei"
"16",49.9850165040634,2.5,3.08333333333333,3.33333333333333,3.75,3.83333333333333,"pigem ei"
"17",49.4021125175911,3.25,3,3.16666666666667,3.75,3.75,"pigem ei"
"18",60.5692173879644,3.5,3.08333333333333,2.91666666666667,2.83333333333333,3.66666666666667,"pigem ei"
"19",63,3.5,3.25,3,3.25,3.66666666666667,"pigem ei"
"20",55,3.25,2.91666666666667,2.83333333333333,3.5,3.66666666666667,"pigem ei"
"21",55,2.58333333333333,2.75,2.66666666666667,2.58333333333333,3.66666666666667,"pigem ei"
"22",68,3.33333333333333,3,3.25,3.83333333333333,3.58333333333333,"pigem ei"
"23",60,3.33333333333333,3.16666666666667,2.66666666666667,2.91666666666667,3.58333333333333,"pigem ei"
"24",56,3.16666666666667,3,3.16666666666667,3.08333333333333,3.58333333333333,"pigem ei"
"25",72.0736165834434,2.83333333333333,2.83333333333333,3.25,3.08333333333333,3.5,"pigem ei"
"26",68,2.83333333333333,2.91666666666667,2.58333333333333,3.25,3.5,"pigem ei"
"27",66.2030978431817,3.41666666666667,2.83333333333333,2.91666666666667,3.08333333333333,3.41666666666667,"pigem ei"
"28",69,3.16666666666667,2.83333333333333,NA,3.16666666666667,3.41666666666667,"pigem ei"
"29",67,3.08333333333333,2.91666666666667,2.66666666666667,2.5,3.41666666666667,"pigem ei"
"30",67,3,3.08333333333333,3.33333333333333,3.5,3.41666666666667,"pigem ei"
"31",61,3,2.75,2.83333333333333,2.83333333333333,3.41666666666667,"pigem ei"
"32",51.7249817541649,3.25,2.83333333333333,3,2.83333333333333,3.33333333333333,"pigem ei"
"33",55,3.16666666666667,3.16666666666667,3.16666666666667,3.08333333333333,3.33333333333333,"pigem ei"
"34",70.2402442349986,3.16666666666667,2.75,2.75,3,3.33333333333333,"pigem ei"
"35",68,3,2.83333333333333,2.91666666666667,3,3.33333333333333,"pigem ei"
"36",70,3,3,2.66666666666667,3,3.33333333333333,"pigem ei"
"37",51.3002872662942,2.91666666666667,2.5,2.91666666666667,3,3.33333333333333,"pigem ei"
"38",66.4668710961557,2.83333333333333,2.83333333333333,2.75,2.83333333333333,3.33333333333333,"pigem ei"
"39",55.9636638117469,2.75,2.58333333333333,2.75,3.25,3.33333333333333,"pigem ei"
"40",55,2.5,3,2.5,3,3.33333333333333,"pigem ei"
"41",71.5041930109108,3.25,2.66666666666667,3.16666666666667,2.91666666666667,3.25,"pigem ei"
"42",67.6719001204992,3.25,2.75,3,3.16666666666667,3.25,"pigem ei"
"43",70.5425970452054,3.25,2.75,2.91666666666667,3.16666666666667,3.25,"pigem ei"
"44",57,3.16666666666667,2.91666666666667,3,2.75,3.25,"pigem ei"
"45",NA,3.16666666666667,2.83333333333333,2.91666666666667,2.83333333333333,3.25,"pigem ei"
"46",51.7466702034354,3.08333333333333,3,3.08333333333333,3,3.25,"pigem ei"
"47",56,3.08333333333333,2.66666666666667,3.08333333333333,3,3.25,"pigem ei"
"48",53.7344593608914,3.08333333333333,2.41666666666667,3,3.25,3.25,"pigem ei"
"49",57,3.08333333333333,3,3,3,3.25,"pigem ei"
"50",60,3,3,2.91666666666667,2.75,3.25,"pigem ei"
"51",64.6273832977955,3,2.91666666666667,2.83333333333333,3.16666666666667,3.25,"pigem ei"
"52",50.2693381788726,2.91666666666667,3.08333333333333,3,2.33333333333333,3.25,"pigem ei"
"53",63,2.91666666666667,3.25,2.75,2.83333333333333,3.25,"pigem ei"
"54",51.3634402490701,2.66666666666667,3.16666666666667,2.75,2.91666666666667,3.25,"pigem ei"
