"","PVMATH","PVREAD","PVSCIE","GENSCIE","INSTSCIE","INTSCIE","JOYSCIE","PERSCIE","SCIEEFF","SCIEFUT","SCSCIE","GR","GENDER"
"1",381.67158,379.51048,422.91436,-3.6618,-2.1025,-3.1448,-2.1517,-3.0797,-3.7682,-1.4186,-2.3632,"8","M"
"2",504.58794,412.63682,554.0202,-3.6618,-1.4615,-3.1448,-2.1517,-3.0797,-1.8458,-0.6938,-1.0946,"9","M"
"3",403.87136,303.15138,394.38062,-3.6618,0.0195,-1.0762,-2.1517,-3.0797,-2.1967,0.3209,0.0752,"9","M"
"4",351.37092,285.98666,292.46128,-2.5921,-1.4615,-1.5369,-1.5138,-0.5345,-0.2283,-1.4186,-2.3632,"8","M"
"5",327.06808,326.0912,374.79868,-2.3231,-2.1025,-3.1448,1.1247,-3.0797,3.223,-1.4186,-2.3632,"7","M"
"6",396.00406,413.19828,406.6893,-2.3231,-2.1025,-0.544,-2.1517,-2.3662,-1.0669,-1.4186,-0.5445,"7","M"
"7",444.84344,476.9729,475.03966,-2.3231,-1.6958,-0.8854,-2.1517,-3.0797,-2.1026,-1.4186,-1.3114,"8","F"
"8",508.09316,495.40424,496.30004,-2.0921,-2.1025,-0.3854,-1.5138,-3.0797,0.1288,-1.4186,-1.0946,"9","F"
"9",521.1793,461.96536,516.53474,-2.0921,-1.6958,-3.1448,-2.1517,-3.0797,0.3184,-1.4186,-2.3632,"9","M"
"10",374.58326,345.34138,398.76328,-2.0921,-1.4615,-3.1448,-2.1517,-3.0797,-2.4226,-1.4186,-0.8207,"7","M"
"11",341.32262,327.8558,341.22964,-2.0921,-1.2638,-0.4102,-1.0972,-1.6501,-0.8968,0.5883,-0.8207,"8","M"
"12",555.45258,515.70548,613.88498,-2.0921,-0.8455,-0.232,-0.1028,-1.0855,1.49,-0.0492,0.652,"9","M"
"13",395.303,393.14598,410.51246,-2.0921,-0.2138,-0.082,-0.8455,-1.3625,-0.7309,0.3209,-0.5445,"7","M"
"14",427.70682,401.81752,436.24872,-2.0921,0.3719,-1.8441,-0.8455,-0.5345,-0.5654,-0.0492,0.3107,"9","F"
"15",427.47314,396.09742,398.48354,-1.8727,-0.8455,-0.544,-0.8455,-1.0855,-3.7682,-0.0492,-0.8207,"8","F"
"16",559.65882,542.1745,615.6567,-1.8727,-0.8455,-0.232,-0.3437,-1.3625,0.9564,-1.4186,0.3107,"9","M"
"17",289.83486,263.58242,289.47734,-1.8727,-0.8455,-0.082,-0.3437,-1.0855,-1.0669,0.5883,-0.8207,"8","F"
"18",457.3064,439.9881,434.66352,-1.8727,-0.6225,-0.71,-1.3103,-1.3625,-1.0669,-1.4186,-0.8207,"8","M"
"19",559.19146,499.02198,571.45742,-1.8727,-0.4167,-0.544,0.5391,-0.5345,-0.8968,-1.4186,0.652,"9","M"
"20",493.52702,488.65138,479.79528,-1.8727,-0.4167,-0.082,-0.3437,-0.5345,-1.2418,-0.6938,-1.7001,"9","F"
