N1;N2;N3;N4;N5;N6;E1;E2;E3;E4;E5;E6;O1;O2;O3;O4;O5;O6;A1;A2;A3;A4;A5;A6;C1;C2;C3;C4;C5;C6
11;6;4;14;14;1;24;18;29;22;21;21;17;19;24;9;26;19;13;7;17;16;8;17;31;25;32;22;30;24
13;12;12;14;26;9;26;27;22;28;28;30;24;23;31;26;22;19;24;20;24;18;10;19;21;16;23;24;19;9
26;21;18;17;19;18;13;17;9;18;24;24;21;17;22;16;18;21;19;22;17;13;14;17;16;10;21;24;12;8
9;11;10;13;10;8;24;24;22;20;16;20;18;15;23;10;10;15;26;21;22;18;16;23;25;25;26;25;27;25
20;10;16;15;16;6;22;15;24;22;18;22;8;28;25;17;23;12;17;22;25;18;22;28;18;23;25;20;23;12
15;12;16;16;18;9;22;18;17;14;19;23;16;9;21;12;8;20;24;14;23;18;25;24;25;21;21;23;22;16
24;9;18;22;22;16;14;12;8;12;19;21;22;20;19;8;18;20;13;16;21;17;22;24;15;14;25;8;12;13
18;7;18;22;24;18;23;9;5;8;10;28;25;9;21;14;15;21;28;30;25;29;29;24;16;14;24;11;15;16
9;10;8;17;15;10;12;15;18;14;14;21;20;8;16;8;18;17;10;16;15;19;14;13;19;16;20;20;21;18
16;12;9;13;11;6;24;25;24;23;17;23;7;22;23;10;20;17;17;19;28;12;18;23;24;26;26;26;26;24
9;17;16;14;18;11;24;20;22;21;21;23;16;21;22;15;18;14;22;20;20;15;15;24;22;25;22;20;18;18
13;8;8;11;12;7;22;16;20;24;12;19;11;25;21;7;25;20;24;24;21;12;19;22;24;19;28;17;26;22
19;13;11;18;20;9;26;13;24;9;12;24;15;14;20;16;22;22;21;12;20;16;18;21;20;20;23;17;22;21
12;8;19;12;24;13;22;19;23;21;15;27;28;21;28;18;24;17;17;15;29;8;13;20;17;19;21;22;21;14
30;20;28;23;23;17;22;18;9;18;26;18;17;21;26;6;15;18;8;15;19;11;26;24;14;15;22;19;14;16
15;8;10;17;22;8;20;14;18;7;16;18;26;19;22;11;12;19;14;17;19;16;21;22;24;20;19;21;24;18
10;9;8;9;25;5;15;15;11;19;21;22;14;17;15;17;11;16;23;20;21;20;19;26;20;15;26;19;25;8
12;7;14;17;20;5;25;24;15;17;23;29;20;17;25;11;14;22;25;15;26;16;15;27;21;21;22;24;23;18
24;25;15;15;24;5;24;16;26;31;23;26;24;22;30;23;18;22;16;8;13;9;1;20;25;17;23;23;18;11
27;18;24;29;21;20;19;7;7;16;13;17;27;28;25;15;13;21;20;17;19;12;24;20;13;22;25;23;15;15
15;7;7;21;19;15;18;9;13;4;3;24;27;24;18;3;5;16;23;30;26;26;20;24;17;24;30;12;19;22
18;5;17;15;11;11;21;8;6;12;17;25;25;32;23;21;11;25;12;25;20;16;30;18;12;19;26;17;13;14
13;9;14;16;25;13;17;15;6;12;20;25;24;18;24;17;18;20;26;29;23;22;21;20;16;13;24;17;20;11
9;12;7;8;12;6;20;14;14;14;15;25;25;22;26;19;16;23;20;24;22;12;19;14;21;18;26;26;22;17
14;11;18;23;15;16;18;13;13;10;14;21;18;21;23;17;11;20;22;19;20;14;14;23;20;22;20;19;22;24
29;16;29;29;16;19;21;5;4;13;11;7;31;28;30;11;32;24;20;28;29;24;29;31;21;21;31;21;23;21
22;19;13;15;18;13;25;18;13;26;23;25;18;25;22;24;16;19;21;24;20;21;20;20;20;18;24;24;23;17
15;9;13;14;19;9;25;17;15;16;19;24;22;10;17;15;9;20;22;22;22;21;26;25;21;19;25;21;24;17
13;13;11;12;14;8;20;21;20;23;20;26;17;11;24;15;13;20;18;16;18;9;19;16;22;25;19;24;24;16
31;18;23;26;25;13;18;23;24;21;20;30;30;23;29;11;22;15;19;17;20;11;7;25;16;19;21;17;19;17
9;11;12;16;15;16;19;20;9;16;14;20;18;17;21;11;7;22;24;21;24;17;22;20;16;21;22;12;14;16
14;14;6;15;23;6;26;27;16;13;17;25;21;6;21;29;6;22;29;24;27;11;17;20;20;17;22;15;14;20
8;8;6;11;12;2;31;27;28;30;25;25;24;27;30;23;24;24;21;25;28;23;22;25;30;24;26;25;30;24
18;13;19;21;18;16;21;22;13;22;17;25;25;23;22;14;11;16;27;21;24;13;17;21;15;21;26;20;16;25
28;20;24;27;23;16;19;15;11;12;18;15;23;11;21;17;10;NA;12;14;17;12;21;18;10;17;17;14;8;11
6;5;5;11;17;11;29;27;18;25;24;30;13;12;21;18;18;24;24;23;26;19;12;20;26;16;28;19;27;16
17;17;14;15;16;11;25;18;22;22;21;28;24;21;26;15;20;24;NA;19;26;11;18;21;18;18;22;22;20;13
15;13;10;14;17;9;26;23;23;22;20;23;12;8;23;25;8;18;17;22;16;11;20;25;20;21;22;20;24;14
12;7;8;10;20;8;28;32;16;25;24;31;29;20;23;14;14;18;25;20;28;20;17;23;20;18;24;20;23;14
16;11;15;9;12;4;27;18;20;20;18;27;25;31;30;17;24;20;25;23;21;16;16;24;24;23;25;23;25;18
27;13;27;15;26;6;15;1;10;8;22;22;32;19;30;14;26;24;26;15;24;1;20;20;12;10;15;10;6;24
14;14;29;20;11;16;16;18;5;8;20;10;13;26;19;18;23;19;21;20;22;16;22;25;13;11;24;11;16;21
20;26;23;21;23;21;26;21;11;16;19;26;31;21;26;14;16;24;19;17;19;8;8;21;11;12;18;13;16;10
12;9;5;15;12;11;19;13;21;15;22;26;23;27;27;8;24;19;21;11;24;18;13;21;23;20;22;22;25;26
8;9;8;12;15;7;29;28;20;28;25;28;25;25;27;18;20;20;19;16;18;19;19;24;22;13;19;18;25;17
9;15;14;11;18;8;25;20;18;8;16;29;29;23;27;17;27;26;28;20;24;19;15;27;21;13;26;9;20;14
24;9;22;12;15;10;27;23;16;20;24;25;28;26;26;13;25;24;26;21;26;20;16;25;19;18;27;17;24;21
11;18;5;7;25;18;26;28;17;22;30;32;26;25;19;15;12;22;15;8;19;8;1;17;12;5;4;8;8;4
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;7;10;12;16;4;28;23;26;22;22;28;27;24;23;20;22;22;20;17;23;19;6;20;28;19;25;22;25;22
7;12;10;6;19;6;25;23;19;26;20;25;26;21;23;19;21;23;27;18;21;16;24;23;21;17;20;17;22;23
12;20;19;20;19;9;27;22;22;20;20;18;23;20;25;11;16;12;10;12;21;17;11;17;20;24;18;26;21;25
10;9;12;17;16;7;20;21;23;20;24;27;18;11;16;15;22;16;21;11;20;15;10;16;16;10;13;13;11;9
14;8;11;11;17;12;29;22;24;25;16;26;26;21;26;10;10;14;22;18;28;18;11;26;21;26;24;27;26;25
25;14;18;15;24;14;29;24;24;26;21;20;31;30;31;19;26;23;30;20;25;13;16;23;24;24;27;21;24;18
18;15;22;16;14;7;27;27;25;23;17;23;18;19;25;17;12;21;10;11;23;12;14;20;23;20;17;24;21;21
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17;16;13;3;26;7;27;29;32;31;27;29;31;24;29;23;25;23;23;13;25;15;7;24;19;16;17;16;18;12
13;8;12;16;10;8;24;20;9;19;12;18;14;20;22;9;10;19;22;23;25;17;24;23;24;22;27;23;25;26
24;14;16;20;16;13;22;18;14;17;16;20;19;15;24;18;17;19;23;21;20;16;22;24;21;19;25;21;18;16
25;5;18;20;17;8;21;16;26;19;11;25;14;31;29;7;29;16;24;25;29;13;15;23;23;28;27;25;26;29
26;23;28;20;21;18;14;4;9;6;17;6;22;15;24;13;15;18;19;22;14;9;25;20;16;21;22;21;14;19
18;13;18;15;20;8;25;23;16;19;15;27;20;25;27;17;21;20;21;24;24;18;16;24;24;22;23;23;22;21
5;7;8;7;16;5;27;19;18;27;19;25;25;15;26;20;23;20;18;15;22;16;13;23;23;25;25;20;24;16
16;11;12;10;18;8;23;24;23;20;20;26;20;19;25;21;20;22;17;20;23;16;13;22;21;20;28;20;21;20
10;12;8;9;15;7;21;22;21;19;22;25;23;26;25;21;27;22;21;19;22;20;16;23;24;21;24;22;23;16
28;22;20;18;20;11;31;29;22;29;28;22;30;32;32;19;30;21;22;13;26;15;8;22;24;25;30;14;22;11
23;12;20;17;27;9;25;31;8;20;24;28;16;7;22;16;18;22;25;11;23;17;21;22;23;7;13;19;19;20
12;14;16;17;28;13;23;17;19;27;15;25;29;20;26;16;28;20;23;17;21;18;18;22;19;16;11;11;14;12
12;7;12;4;27;9;26;21;12;14;18;30;32;31;31;21;29;26;31;16;19;15;14;31;12;8;9;1;11;7
14;18;14;16;18;7;18;18;26;27;28;24;25;22;28;21;25;23;17;13;20;16;7;20;24;20;25;23;18;9
16;10;10;7;12;6;25;21;23;24;20;26;19;25;24;14;22;17;21;24;21;21;17;21;26;23;25;24;24;25
11;16;14;16;16;11;25;26;16;22;21;24;28;29;25;23;24;21;23;22;19;20;18;24;17;18;18;15;21;14
16;22;8;11;17;11;23;20;13;15;17;26;21;25;25;19;16;20;12;15;12;10;11;22;16;17;18;20;18;17
12;6;8;11;12;7;26;19;16;21;19;24;25;10;20;17;23;19;26;28;26;16;14;25;22;16;19;13;19;14
24;23;25;22;28;16;21;19;12;3;22;11;31;23;25;11;25;29;23;19;26;12;12;27;11;14;23;10;13;15
23;21;22;24;17;25;10;11;11;8;10;7;20;8;14;6;10;16;11;21;16;9;19;19;9;19;17;10;7;15
18;12;8;19;19;12;24;16;19;21;17;24;17;23;25;18;17;18;23;17;27;14;16;24;25;25;29;24;22;16
15;7;8;9;12;9;31;28;9;31;18;27;27;28;32;22;6;26;28;23;31;13;12;19;25;24;29;27;25;23
12;5;6;11;10;6;22;16;15;15;17;23;15;26;21;15;24;22;23;24;18;20;20;21;21;20;23;21;23;20
13;11;11;21;19;9;26;20;12;28;21;31;20;17;29;16;14;22;29;25;26;9;9;24;20;25;23;23;22;18
